Countries,Medal,Value
Australia,Gold,15000
Australia,Silver,11000
Australia,Bronze,7000
Azerbaijan,Gold,235000
Azerbaijan,Silver,117500
Azerbaijan,Bronze,58750
Brazil,Gold,49000
Brazil,Silver,29000
Brazil,Bronze,20000
Bulgaria,Gold,91008
Bulgaria,Silver,72806
Bulgaria,Bronze,54605
Canada,Gold,16000
Canada,Silver,12000
Canada,Bronze,8000
Denmark,Gold,15962
Denmark,Silver,11971
Denmark,Bronze,7981
Estonia,Gold,117500
Estonia,Silver,82250
Estonia,Bronze,52875
Finland,Gold,59342
Finland,Silver,35605
Finland,Bronze,23737
Germany,Gold,22000
Germany,Silver,17000
Germany,Bronze,11000
UK,Gold,0
UK,Silver,0
UK,Bronze,0
China,Gold,642500
China,Silver,321250
China,Bronze,160625
Hungary,Gold,168000
Hungary,Silver,126000
Hungary,Bronze,96000
Indonesia,Gold,346000
Indonesia,Silver,138500
Indonesia,Bronze,69250
Italy,Gold,213000
Italy,Silver,107000
Italy,Bronze,71000
Japan,Gold,45000
Japan,Silver,18000
Japan,Bronze,9000
Kazakhstan,Gold,250000
Kazakhstan,Silver,150000
Kazakhstan,Bronze,75000
Kosovo,Gold,118683
Kosovo,Silver,71210
Kosovo,Bronze,47473
Liechtenstein,Gold,27602
Liechtenstein,Silver,22082
Liechtenstein,Bronze,16561
Lithuania,Gold,144793
Lithuania,Silver,72397
Lithuania,Bronze,54238
Malaysia,Gold,236000
Malaysia,Silver,71000
Malaysia,Bronze,24000
Morocco,Gold,225067
Morocco,Silver,140667
Morocco,Bronze,84400
New Zealand,Gold,0
New Zealand,Silver,0
New Zealand,Bronze,0
Norway,Gold,0
Norway,Silver,0
Norway,Bronze,0
Philippines,Gold,200000
Philippines,Silver,100000
Philippines,Bronze,40000
Russia,Gold,61000
Russia,Silver,38000
Russia,Bronze,26000
Serbia,Gold,71210
Serbia,Silver,59342
Serbia,Bronze,47473
Singapore,Gold,737000
Singapore,Silver,369000
Singapore,Bronze,184000
Slovakia,Gold,59342
Slovakia,Silver,47473
Slovakia,Bronze,35605
Slovenia,Gold,23737
Slovenia,Silver,20770
Slovenia,Bronze,17802
South Africa,Gold,37000
South Africa,Silver,19000
South Africa,Bronze,7000
South Korea,Gold,54767
South Korea,Silver,30426
South Korea,Bronze,21733
Spain,Gold,111562
Spain,Silver,56968
Spain,Bronze,35605
Sweden,Gold,0
Sweden,Silver,0
Sweden,Bronze,0
Switzerland,Gold,44171
Switzerland,Silver,33129
Switzerland,Bronze,22086
Taiwan,Gold,720000
Taiwan,Silver,251000
Taiwan,Bronze,178000
Thailand,Gold,365150
Thailand,Silver,219090
Thailand,Bronze,146060
USA,Gold,37500
USA,Silver,22500
USA,Bronze,15000
