Year,Olympics,Name,Country,Sport,Banned substance,Medals,Sex
1968,Summer,Hans-Gunnar Liljenwall,Sweden,Modern pentathlon,Ethanol,3,M
1972,Summer,Bakaava Buidaa,Mongolia,Judo,Dianabol,2,M
1972,Summer,Miguel Coll,Puerto Rico,Basketball,Amphetamine,0,M
1972,Summer,Rick DeMont,United States,Swimming,Ephedrine,1,M
1972,Summer,Aad van den Hoek,Netherlands,Cycling,Coramine,2,M
1972,Summer,Jaime Huelamo,Spain,Cycling,Coramine,2,M
1972,Summer,Walter Legel,Austria,Weightlifting,Amphetamine,0,M
1972,Summer,Mohammad Reza Nasehi,Iran,Weightlifting,Ephedrine,0,M
1972,Winter,Alois Schloder,West Germany,Ice hockey,Ephedrine,0,M
1976,Winter,Galina Kulakova,Soviet Union,Cross-country skiing,Ephedrine,3,F
1976,Winter,Frantisek Pospisil,Czechoslovakia,Ice hockey,Codeine & Morphine,0,M
1976,Summer,Blagoi Blagoev,Bulgaria,Weightlifting,Anabolic steroid,2,M
1976,Summer,Mark Cameron,United States,Weightlifting,Anabolic steroid,0,M
1976,Summer,Paul Cerutti,Monaco,Shooting,Amphetamine,0,M
1976,Summer,Dragomir Cioroslan,Romania,Weightlifting,Fencamfamine,0,M
1976,Summer,Phil Grippaldi,United States,Weightlifting,Anabolic steroid,0,M
1976,Summer,Zbigniew Kaczmarek,Poland,Weightlifting,Anabolic steroid,1,M
1976,Summer,Valentin Khristov,Bulgaria,Weightlifting,Anabolic steroid,1,M
1976,Summer,Lorne Leibel,Canada,Sailing,Phenylpropanolamine,0,M
1976,Summer,Arne Norrback,Sweden,Weightlifting,Anabolic steroid,0,M
1976,Summer,Petr Pavlasek,Czechoslovakia,Weightlifting,Anabolic steroid,0,M
1976,Summer,Danuta Rosani,Poland,Athletics,Anabolic steroid,0,F
1984,Summer,Serafim Grammatikopoulos,Greece,Weightlifting,Nandrolone,0,M
1984,Summer,Vesteinn Hafsteinsson,Iceland,Athletics,Nandrolone,0,M
1984,Summer,Tomas Johansson,Sweden,Wrestling,Methenolone,2,M
1984,Summer,Stefan Laggner,Austria,Weightlifting,Nandrolone,0,M
1984,Summer,Goran Pettersson,Sweden,Weightlifting,Nandrolone,0,M
1984,Summer,Eiji Shimomura,Japan,Volleyball,Testosterone,0,M
1984,Summer,Mikiyasu Tanaka,Japan,Volleyball,Ephedrine,0,M
1984,Summer,Ahmed Tarbi,Algeria,Weightlifting,Nandrolone,0,M
1984,Summer,Mahmoud Tarha,Lebanon,Weightlifting,Nandrolone,0,M
1984,Summer,Giampaolo Urlando,Italy,Athletics,Testosterone,0,M
1984,Summer,Martti Vainio,Finland,Athletics,Methenolone,2,M
1984,Summer,Anna Verouli,Greece,Athletics,Nandrolone,0,F
1984,Winter,Purevjavyn Batsukh,Mongolia,Cross-country skiing,Methandienone,0,M
1988,Winter,Jaroslaw Morawiecki,Poland,Ice hockey,Testosterone,0,M
1992,Summer,Madina Biktagirova,Unified Team,Athletics,Norephedrine,0,F
1992,Summer,Wu Dan,China,Volleyball,Strychnine,0,F
1992,Summer,Bonnie Dasse,United States,Athletics,Clenbuterol,0,F
1992,Summer,Andrew Davies,Great Britain,Weightlifting,Clenbuterol,0,M
1992,Summer,Jason Livingston,Great Britain,Athletics,Anabolic steroid,0,M
1992,Summer,Jud Logan,United States,Athletics,Clenbuterol,0,M
1992,Summer,Nijole Medvedeva,Lithuania,Athletics,Mesocarb,0,F
1992,Summer,Andrew Saxton,Great Britain,Weightlifting,Clenbuterol,0,M
1988,Summer,Ali Dad,Afghanistan,Wrestling,Furosemide,0,M
1988,Summer,Kerrith Brown,Great Britain,Judo,Furosemide,3,M
1988,Summer,Kalman Csengeri,Hungary,Weightlifting,Stanozolol,0,M
1988,Summer,Mitko Grablev,Bulgaria,Weightlifting,Furosemide,1,M
1988,Summer,Angell Guenchev,Bulgaria,Weightlifting,Furosemide,1,M
1988,Summer,Ben Johnson,Canada,Athletics,Stanozolol,1,M
1988,Summer,Fernando Mariaca,Spain,Weightlifting,Pemoline,0,M
1988,Summer,Jorge Quesada,Spain,Modern pentathlon,Propanolol,0,M
1988,Summer,Andor Szanyi,Hungary,Weightlifting,Stanozolol,2,M
1988,Summer,Alexander Watson,Australia,Modern Pentathlon,Caffeine,0,M
1996,Summer,Antonella Bevilacqua,Italy,Athletics,Ephedrine,0,F
1996,Summer,Dean Capobianco,Australia,Athletics,Stanozolol,0,M
1996,Summer,Sandra Farmer-Patrick,United States,Athletics,Testosterone,0,F
1996,Summer,Daniel Plaza,Spain,Athletics,Nandrolone,0,M
1996,Summer,Iva Prandzheva,Bulgaria,Athletics,Metadienone,0,F
1996,Summer,Mary Slaney,United States,Athletics,Testosterone,0,F
1996,Summer,Natalya Shekhodanova,Russia,Athletics,Stanozolol,0,F
2002,Winter,Natalya Baranova-Masalkina,Russia,Cross-country skiing,Erythropoietin,0,F
2002,Winter,Alain Baxter,Great Britain,Alpine skiing,Methamphetamine,3,M
2002,Winter,Olga Danilova,Russia,Cross-country skiing,Darbepoetin,1,F
2002,Winter,Larisa Lazutina,Russia,Cross-country skiing,Darbepoetin,1,F
2002,Winter,Marc Mayer,Austria,Cross-country skiing,Blood Doping,0,M
2002,Winter,Johann Muhlegg,Spain,Cross-country skiing,Darbepoetin,1,M
2002,Winter,Vasily Pankov,Belarus,Ice hockey,Nandrolone,0,M
2002,Winter,Achim Walcher,Austria,Cross-country skiing,Blood Doping,0,M
2000,Summer,Fritz Aanes,Norway,Wrestling,Norandrosterone,0,M
2000,Summer,Lance Armstrong,United States,"Cycling 
(Road race and Time trial)",Evasion of doping control,3,M
2000,Summer,Ashot Danielyan,Armenia,Weightlifting,Stanozolol,3,M
2000,Summer,Izabela Dragneva,Bulgaria,Weightlifting,Furosemide,1,F
2000,Summer,Stian Grimseth,Norway,Weightlifting,Nandrolone,0,M
2000,Summer,Ivan Ivanov,Bulgaria,Weightlifting,Furosemide,2,M
2000,Summer,Marion Jones,United States,Athletics,Tetrahydrogestrinone,1,F
2000,Summer,Alexander Leipold,Germany,Wrestling,Nandrolone,1,M
2000,Summer,Sevdalin Minchev,Bulgaria,Weightlifting,Furosemide,3,M
2000,Summer,Antonio Pettigrew,United States,Athletics,Erythropoietin,1,M
2000,Summer,Svetlana Pospelova,Russia,Athletics,Stanozolol,0,F
2000,Summer,Oyuunbilegiin Purevbaatar,Mongolia,Wrestling,Furosemide,0,M
2000,Summer,Andreea Raducan,Romania,Gymnastics,Pseudophedrine,1,F
2000,Summer,Andris Reinholds,Latvia,Rowing,Nandrolone,0,M
2000,Summer,Jerome Young,United States,Athletics,Nandrolone,1,M
2004,Summer,Wafa Ammouri,Morocco,Weightlifting,Anabolic steroid,0,M
2004,Summer,Adrian Annus,Hungary,Athletics,Test Falsification,1,M
2004,Summer,Ludger Beerbaum,Germany,Equestrian,Betamethasone,1,M
2004,Summer,Yuriy Bilonog,Ukraine,Athletics,Oxandrolone ,1,M
2004,Summer,Zhanna Block,Ukraine,Athletics,BALCO investigation,0,F
2004,Summer,Andrew Brack,Greece,Baseball,Stanozolol ,0,M
2004,Summer,Viktor Chislean,Moldova,Weightlifting,Anabolic steroid,0,M
2004,Summer,Crystal Cox,United States,Athletics,Anabolic agents,1,F
2004,Summer,Robert Fazekas,Hungary,Athletics,,1,M
2004,Summer,Mabel Fonseca,Puerto Rico,Wrestling,Stanozolol,0,F
2004,Summer,Anton Galkin,Russia,Athletics,Stanozolol,0,M
2004,Summer,Ferenc Gyurkovics,Hungary,Weightlifting,Oxandrolone,2,M
2004,Summer,Tyler Hamilton,United States,Cycling,,1,M
2004,Summer,Marion Jones,United States,Athletics,BALCO investigation,0,F
2004,Summer,Zoltan Kecskes,Hungary,Weightlifting,Anabolic steroid,0,M
2004,Summer,Konstantinos Kenteris,Greece,Athletics,Evasion of doping control,0,M
2004,Summer,Albina Khomich,Russia,Weightlifting,Testosterone,0,F
2004,Summer,Aye Khine Nan,Myanmar,Weightlifting,Anabolic steroid,0,F
2004,Summer,Irina Korzhanenko,Russia,Athletics,Stanozolol,1,F
2004,Summer,Zoltan Kovacs,Hungary,Weightlifting,Refused to submit sample,0,M
2004,Summer,Svetlana Krivelyova,Russia,Athletics,Oxandrolone,3,F
2004,Summer,Pratima Kumari Na,India,Weightlifting,Anabolic steroid,0,F
2004,Summer,Aleksey Lesnichiy,Belarus,Athletics,Clenbuterol,0,M
2004,Summer,David Munyasia,Kenya,Boxing,Cathine,0,M
2004,Summer,Derek Nicholson,Greece,Baseball,Diuretic,0,M
2004,Summer,Cian O'Connor,Ireland,Equestrian,Antipsychotics,1,M
2004,Summer,Olena Olefirenko,Ukraine,Rowing,Ethamivan,3,F
2004,Summer,Oleg Perepetchenov,Russia,Weightlifting,Clenbuterol,3,M
2004,Summer,Duane Ross,United States,Athletics,BALCO investigation,0,M
2004,Summer,Leonidas Sampanis,Greece,Weightlifting,Testosterone,3,M
2004,Summer,Thinbaijam Sanamcha Chanu,India,Weightlifting,Furosemide,0,F
2004,Summer,Mital Sharipov,Kyrgyzstan,Weightlifting,Furosemide,0,M
2004,Summer,Olga Shchukina,Uzbekistan,Athletics,Clenbuterol,0,F
2004,Summer,Sule Sahbaz,Turkey,Weightlifting,Anabolic steroid,0,M
2004,Summer,Ekaterini Thanou,Greece,Athletics,Evasion of doping control,0,F
2004,Summer,Ivan Tsikhan,Belarus,Athletics,Methandienone,2,M
2004,Summer,Irina Yatchenko,Belarus,Athletics,Methandienone,3,F
2018,Winter,Ziga Jeglic,Slovenia,men's ice hockey tournament,Fenoterol,0,M
2018,Winter,Alexander Krushelnitskiy,Olympic Athletes from Russia,mixed doubles curling,Meldonium,3,M
2018,Winter,Kei Saito,Japan,men's 5000 meter short track speed skating relay,Acetazolamide,0,M
2018,Winter,Nadezhda Sergeeva,Olympic Athletes from Russia,two-woman bobsleigh,trimetazidine,0,F
2020,Summer,Tandara Caixeta,Brazil,Women's volleyball,Enobosarm,2,F
2020,Summer,Blessing Okagbare,Nigeria,"Athletics 
Women's 100 meters",Erythropoietin,0,F
2020,Summer,Chijindu Ujah,Great Britain,"Athletics 
Men's 4 �� 100 metres ",Enobosarm,2,M
2020,Summer,El-Hassan El-Abbassi,Bahrain,"Athletics 
Men's marathon",Homologous blood transfusion,0,M
2020,Summer,Igor Andreyevich Polyanski,ROC,"Triathlon 
Men's Triathlon",Erythropoietin,0,M
2020,Summer,Mohamed Talaat,Egypt,"Equestrian Jumping 
Show Jumping Team",Cannabis,0,M
2020,Summer,Jakub Krzewina,Poland,"Athletics 
Men's 4 �� 400 metres ",Violation of Doping control,0,M
2008,Summer,Elvan Abeylegesse,Turkey,"Athletics 
5000 Metres
10,000 metres",Unknown,2,M
2008,Summer,Christian Ahlmann,Germany,"Equestrian 
Individual jumping
Team jumping",Capsaicin,0,M
2008,Summer,Bernardo Alves,Brazil,"Equestrian 
Individual jumping
Team jumping",Capsaicin,0,M
2008,Summer,Lyudmila Blonska,Ukraine,"Athletics 
Heptathlon",Methyltestosterone,2,M
2008,Summer,Tony Andre Hansen,Norway,"Equestrian 
Individual jumping
Team jumping",Capsaicin,3,M
2008,Summer,Alissa Kallinikou,Cyprus,"Athletics 
400 metres",Testosterone,0,F
2008,Summer,Kim Jong-su,North Korea,"Shooting 
10 m air pistol
50 m pistol",Propranolol,3,M
2008,Summer,Courtney King,United States,"Equestrian 
Individual dressage
Team dressage",Felbinac,0,F
2008,Summer,Denis Lynch,Ireland,"Equestrian 
Individual jumping",Capsaicin,0,M
2008,Summer,Andrei Mikhnevich,Belarus,"Athletics 
Shot put",Clenbuterol,3,M
2008,Summer,Tezdzhan Naimova,Bulgaria,"Athletics 
100 metres",Violation of Doping control,0,F
2008,Summer,Rodrigo Pessoa,Brazil,"Equestrian 
Individual jumping
Team jumping",Nonivamide,0,M
2008,Summer,Igor Razoronov,Ukraine,"Weightlifting 
105 kg",Nandrolone,0,M
2008,Summer,Adam Seroczynski,Poland,"Canoeing 
K-2 1000 metres",Clenbuterol,0,M
2008,Summer,Do Thi Ngan Thuong,Vietnam,"Gymnastics 
Artistic qualification",Furosemide,0,F
