Year,Olympics,Athlete,Country,Medal,Event
1968,Summer,Modern Pentathlon team (Hans-Gunnar Liljenwall),Sweden,3,"Modern pentathlon, Team"
1972,Summer,Bakhvain Buyadaa,Mongolia,2,"Judo, Men's 63 kg (X)"
1972,Summer,Cycling team (Aad van den Hoek),Netherlands,3,"Cycling, Men's team time trial (X)"
1972,Summer,Jaime Huélam,Spain,3,"Cycling, Men's individual road race (X)"
1972,Summer,Rick DeMont,United States,1,"Swimming, Men's 400 m freestyle"
1976,Winter,Galina Kulakova,Soviet Union,3,"Cross-Country Skiing, Women's 5 km"
1976,Summer,Valentin Khristov,Bulgaria,1,"Weightlifting, Men's 110 kg"
1976,Summer,Blagoy Blagoev,Bulgaria,2,"Weightlifting, Men's 82.5 kg"
1976,Summer,Zbigniew Kaczmarek,Poland,1,"Weightlifting, Men's 67.5 kg"
1984,Summer,Martti Vainio,Finland,2,"Athletics, Men's 10,000 m"
1984,Summer,Tomas Johansson,Sweden,2,"Wrestling, Men's Greco-Roman +100 kg"
1988,Summer,Mitko Grablev,Bulgaria,1,"Weightlifting, Men's 56 kg"
1988,Summer,Angel Guenchev,Bulgaria,1,"Weightlifting, Men's 67.5 kg"
1988,Summer,Ben Johnson,Canada,1,"Athletics, Men's 100 m"
1988,Summer,Andor Szanyi,Hungary,2,"Weightlifting, Men's 100 kg"
1988,Summer,Kerrith Brown,Great Britain,3,"Judo, Men's 71 kg"
2000,Summer,Ashot Danielyan,Armenia,3,"Weightlifting, Men's +105 kg"
2000,Summer,Izabela Dragneva,Bulgaria,1,"Weightlifting, Women's 48 kg"
2000,Summer,Ivan Ivanov,Bulgaria,2,"Weightlifting, Men's 56 kg"
2000,Summer,Sevdalin Minchev,Bulgaria,3,"Weightlifting, Men's 62 kg"
2000,Summer,Alexander Leipold,Germany,1,"Wrestling, Men's freestyle 76 kg"
2000,Summer,Andreea Răduca,Romania,1,"Gymnastics, Women's artistic individual all-around"
2000,Summer,Marion Jones,United States,1,"Athletics, Women's 100 m (X)"
2000,Summer,Marion Jones,United States,1,"Athletics, Women's 200 m"
2000,Summer,Marion Jones,United States,3,"Athletics, Women's long jump"
2000,Summer,"Relay team (Antonio Pettigrew, Jerome Young)",United States,1,"Athletics, Men's 4 × 400 m rela"
2000,Summer,Lance Armstrong,United States,3,"Cycling, Men's road time trial (X)"
2002,Winter,Alain Baxter,Great Britain,3,"Alpine Skiing, Men's slalom"
2002,Winter,Olga Danilova,Russia,1,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit"
2002,Winter,Olga Danilova,Russia,2,"Cross-Country Skiing, Women's 10 km classical"
2002,Winter,Larisa Lazutina,Russia,1,"Cross-Country Skiing, Women's 30 km classical"
2002,Winter,Larisa Lazutina,Russia,2,"Cross-Country Skiing, Women's 15 km freestyle mass start"
2002,Winter,Larisa Lazutina,Russia,2,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit"
2002,Winter,Johann Mühleg,Spain,1,"Cross-Country Skiing, Men's 50 km classical"
2002,Winter,Johann Mühleg,Spain,1,"Cross-Country Skiing, Men's 30 km freestyle"
2002,Winter,Johann Mühleg,Spain,1,"Cross-Country Skiing, Men's 10 km + 10 km combined pursuit"
2004,Summer,Ivan Tsikhan,Belarus,2,"Athletics, Men's hammer throw (X)"
2004,Summer,Iryna Yatchenko,Belarus,3,"Athletics, Women's discus throw"
2004,Summer,"Equestrian team
(Goldfever horse; Ludger Beerbaum rider)",Germany,1,"Equestrian, Team show jumping"
2004,Summer,Leonidas Sabanis,Greece,3,"Weightlifting, Men's 62 kg"
2004,Summer,Adrián Annu,Hungary,1,"Athletics, Men's hammer throw"
2004,Summer,Róbert Fazeka,Hungary,1,"Athletics, Men's discus throw"
2004,Summer,Ferenc Gyurkovics,Hungary,2,"Weightlifting, Men's 105 kg"
2004,Summer,Waterford Crystal (horse; Cian O'Connor rider),Ireland,1,"Equestrian, Individual show jumping"
2004,Summer,Irina Korzhanenko,Russia,1,"Athletics, Women's shot put"
2004,Summer,Svetlana Krivelyova,Russia,3,"Athletics, Women's shot put (X)"
2004,Summer,Oleg Perepetchenov,Russia,3,"Weightlifting, Men's 77 kg"
2004,Summer,Yuriy Bilonoh,Ukraine,1,"Athletics, Men's shot put"
2004,Summer,Rowing team (Olena Olefirenko),Ukraine,3,"Rowing, Women's quadruple sculls"
2004,Summer,Tyler Hamilton,United States,1,"Cycling, Men's road time trial"
2006,Winter,Olga Pyleva,Russia,2,"Biathlon, Women's individual"
2008,Summer,Tigran Gevorg Martirosyan,Armenia,3,"Weightlifting, Men's 69 kg"
2008,Summer,Vitaliy Rahimov,Azerbaijan,2,"Wrestling, Men's Greco-Roman 60 kg"
2008,Summer,Rashid Ramzi,Bahrain,1,"Athletics, Men's 1500 m"
2008,Summer,Aksana Miankova,Belarus,1,"Athletics, Women's hammer throw"
